  D5    2.001   BH2015      0      0      0        0.00        0.00        0.00             Fri Jun 23 14:58:34 2017
  D6    2.001   BH2015     82      1     82   500214.88   495818.38   505711.31             Fri Jun 23 14:59:59 2017
  D7    2.007   BH2015      0      0      0        0.00        0.00        0.00             Fri Jun 23 15:02:23 2017
  D9    2.001   BH2015      0      0      0        0.00        0.00        0.00             Fri Jun 23 15:08:34 2017
 D12    2.007   BH2015      2      0      0   502517.72   494279.06   499789.88             Fri Jun 23 15:10:53 2017
 D16    2.007   BH2015     91      1     91   492208.38   499026.66   495955.91             Fri Jun 23 15:13:44 2017
 D22    2.007   BH2015      0      0      0        0.00        0.00        0.00             Fri Jun 23 15:16:56 2017
 D24    2.007   BH2015      0      0      0        0.00        0.00        0.00             Fri Jun 23 15:19:59 2017
 D29    2.007   BH2015    126      2    126   490860.59   495451.56   499134.25             Fri Jun 23 15:21:46 2017
  D3    1.000   BH2015      0      0      0        0.00        0.00        0.00             Fri Jun 23 22:46:49 2017
  D4    1.000   BH2015      0      0      0        0.00        0.00        0.00             Fri Jun 23 22:51:36 2017
  D5    1.000   BH2015      0      0      0        0.00        0.00        0.00             Fri Jun 23 22:53:00 2017
  D6    1.000   BH2015    160      1    160   501981.12   495706.41   504754.75             Fri Jun 23 22:54:17 2017
  D7    1.000   BH2015    231      1    231        0.00        0.00        0.00             Fri Jun 23 22:59:03 2017
  D9    1.000   BH2015      0      0      0        0.00        0.00        0.00             Fri Jun 23 23:07:25 2017
 D12    1.000   BH2015      0      0      0        0.00        0.00        0.00             Fri Jun 23 23:08:44 2017
 D16    1.000   BH2015      0      0      0        0.00        0.00        0.00             Fri Jun 23 23:11:31 2017
 D22    1.000   BH2015      0      0      0        0.00        0.00        0.00             Fri Jun 23 23:16:17 2017
 D24    1.000   BH2015      0      0      0        0.00        0.00        0.00             Fri Jun 23 23:20:01 2017
 D29    1.000   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 00:18:01 2017
  D3    1.000   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 16:22:25 2017
  D4    1.000   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 16:35:39 2017
  D5    1.000   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 16:37:47 2017
  D6    1.000   BH2015    160      1    160   501981.12   495706.41   504754.75             Sat Jun 24 16:38:59 2017
  D7    1.000   BH2015    231      1    231        0.00        0.00        0.00             Sat Jun 24 16:43:24 2017
  D9    1.000   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 16:45:19 2017
 D12    1.000   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 16:46:33 2017
 D16    1.000   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 16:49:38 2017
 D22    1.000   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 16:51:48 2017
 D24    1.000   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 16:53:28 2017
 D29    1.000   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 16:55:04 2017
  D3    2.007   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 16:58:54 2017
  D4    2.001   BH2015     36      2     36   497446.91   498160.53   503926.91             Sat Jun 24 17:00:19 2017
  D5    2.001   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 17:01:55 2017
  D6    2.001   BH2015     82      1     82   500214.88   495818.38   505711.31             Sat Jun 24 17:05:11 2017
  D7    2.007   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 17:06:46 2017
  D9    2.001   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 17:10:06 2017
 D12    2.007   BH2015      2      0      0   502517.72   494279.06   499789.88             Sat Jun 24 17:11:16 2017
 D16    2.007   BH2015     91      1     91   492208.38   499026.66   495955.91             Sat Jun 24 17:13:58 2017
 D22    2.007   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 17:15:56 2017
 D24    2.007   BH2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 17:17:55 2017
 D29    2.007   BH2015    126      2    126   490860.59   495451.56   499134.25             Sat Jun 24 17:19:50 2017
  D3    2.007  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 17:31:58 2017
  D3    2.007  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 17:34:18 2017
  D4    2.001  CSF2015     28      2     28   497422.62   498151.28   503925.38             Sat Jun 24 17:36:18 2017
  D5    2.001  CSF2015    401    199    401   501718.00   503450.53   498537.38             Sat Jun 24 17:39:33 2017
  D6    2.001  CSF2015     80      1     80   500206.50   495787.09   505680.62             Sat Jun 24 17:41:22 2017
  D7    2.001  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 17:49:32 2017
  D9    2.001  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 17:51:09 2017
 D12    2.001  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 17:52:14 2017
 D16    2.007  CSF2015     79      1     79   492186.41   499001.50   495906.03             Sat Jun 24 17:53:54 2017
 D22    2.007  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 17:58:13 2017
 D24    2.007  CSF2015      0      0      0        0.00        0.00        0.00             Sat Jun 24 18:00:08 2017
 D29    2.007  CSF2015    117      2    117   490808.38   495435.03   499196.72             Sat Jun 24 18:02:00 2017
