  D5    1.000   BH2015      0      0      0             Tue Jun 13 22:09:37 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 22:13:13 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 22:19:14 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 22:21:00 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 22:22:48 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 22:25:51 2017
  D3    1.000   BH2015      0      0      0             Tue Jun 13 22:27:21 2017
  D3    1.000   BH2015      0      0      0             Tue Jun 13 22:33:34 2017
  D3    1.000   BH2015      0      0      0             Tue Jun 13 22:38:25 2017
  D3    1.000   BH2015      0      0      0             Wed Jun 14 02:14:30 2017
  D3    1.000   BH2015      0      0      0             Wed Jun 14 02:17:21 2017
  D3    1.000   BH2015      0      0      0             Wed Jun 14 02:20:58 2017
  D3    1.000   BH2015      0      0      0             Wed Jun 14 02:23:15 2017
  D3    1.000   BH2015      0      0      0             Wed Jun 14 02:44:38 2017
  D5    1.000   BH2015      0      0      0             Wed Jun 14 19:55:31 2017
  D5    1.000   BH2015      0      0      0             Wed Jun 14 21:16:06 2017
  D5    1.000   BH2015      0      0      0             Wed Jun 14 21:24:00 2017
  D5    1.000   BH2015      0      0      0             Wed Jun 14 21:35:38 2017
  D7    1.000   BH2015    231      1    231             Wed Jun 14 21:40:12 2017
----------------------------------------------------------------------------------------------

  D4    1.000   BH2015      0      0      0    500165.687500                            495726.41
      Wed Jun
  D4    1.000   BH2015      0      0      0   500165.69                            495726.41
      Wed Jun
  D4    1.000   BH2015      0      0      0   500165.69   495726.41   502033.09             Wed Jun 14 22:18:22 2017
  D4    1.000   BH2015      0      0      0   500165.69   495726.41   502033.09             Wed Jun 14 22:23:04 2017
  D4    1.000   BH2015      0      0      0   500165.69   495726.41   502033.09             Wed Jun 14 22:25:05 2017
  D3    2.007   BH2015      0      0      0   500761.41   494688.88   495889.59             Wed Jun 14 22:27:24 2017
  D4    2.001   BH2015     23      1     23   491145.84   495437.75   501747.06             Wed Jun 14 22:28:42 2017
  D5    2.001   BH2015      0      0      0   504963.62   501343.38   497023.06             Wed Jun 14 22:30:15 2017
  D6    2.001   BH2015      0      0      0   505692.88   501603.81   500067.09             Wed Jun 14 22:31:17 2017
  D7    2.007   BH2015      0      0      0   509024.34   503618.75   501022.94             Wed Jun 14 22:32:49 2017
  D9    2.001   BH2015      0      0      0   502075.94   499055.84   498181.47             Wed Jun 14 22:35:10 2017
 D12    2.007   BH2015      0      0      0   502443.25   494330.09   499643.12             Wed Jun 14 22:36:22 2017
 D16    2.007   BH2015      0      0      0   492586.25   506036.22   480933.25             Wed Jun 14 22:38:51 2017
 D22    2.007   BH2015      0      0      0   498271.88   502832.22   506261.12             Wed Jun 14 22:41:27 2017
 D24    2.007   BH2015      0      0      0   494003.88   498189.97   492440.47             Wed Jun 14 22:43:27 2017
 D29    2.007   BH2015      0      0      0   492040.97   513237.72   497995.62             Wed Jun 14 22:46:39 2017
  D3    1.000   BH2015      0      0      0   503756.66   495529.12   497123.78             Wed Jun 14 22:50:23 2017
  D4    1.000   BH2015      0      0      0   500165.69   495726.41   502033.09             Wed Jun 14 22:51:58 2017
  D5    1.000   BH2015      0      0      0   506045.28   501736.41   499095.69             Wed Jun 14 23:05:30 2017
  D6    1.000   BH2015      0      0      0   505846.88   499455.50   499904.84             Wed Jun 14 23:06:54 2017
  D7    1.000   BH2015    231      1    231   507121.16   503178.16   499200.81             Wed Jun 14 23:08:54 2017
  D9    1.000   BH2015      0      0      0   501222.69   497241.34   496277.75             Wed Jun 14 23:11:01 2017
 D12    1.000   BH2015      0      0      0   502280.41   496761.09   498871.59             Wed Jun 14 23:12:14 2017
